Num	Order	Ontology ID	LABEL	Vaccine Type	Cancer Type	Parent label	Parent	Gene names	NCBI GeneID	status of vaccine development	immunizes host	definition	PubMed (original)	PubMed	other link	VIOLIN ID	VIOLIN Link	GitHub tracker	NCI link	NCT link	Term editors	JZ notes
27	8	VO:0007026	NY-ESO-1/GLA-SE vaccine ID-G305AmN	Multipeptide vaccine	Various	cancer vaccine	VO:0000177	Gene name: CTAG1B|Gene name: TLR4	1485|7099	Clinical trial	Homo sapiens|Mus musculus	"A cancer vaccine composed of a recombinant form of the tumor antigen NY-ESO-1 and glucopyranosyl lipid adjuvant (GLA)-stable emulsion (GLA-SE), with potential antineoplastic and immunomodulating activities. Upon intramuscular injection, the adjuvant portion of the NY-ESO-1/GLA-SE vaccine ID-G30 binds to toll-like receptor subtype 4 (TLR-4) expressed on dendritic cells (DCs), monocytes, macrophages and B cells. The activated DCs present the NY-ESO-1 antigen to Th1 CD4 T-lymphocytes. This leads to the induction of cytotoxic T lymphocytes (CTLs) and the killing of NY-ESO-1-expressing tumor cells. This vaccine also induces specific antibody responses and increases the production of inflammatory cytokines."	31069460	PubMed:31069460		5445	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5445	https://github.com/vaccineontology/VO/issues/85	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C113432	NCT: https://clinicaltrials.gov/ct2/show/NCT02015416	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
28	11	VO:0007027	NY-ESO-1b peptide vaccine	Peptide	Various	cancer vaccine	VO:0000177	Gene name: CTAG1B	1485	Clinical trial	Homo sapiens|Mus musculus	"A recombinant nonapeptide used as an antineoplastic vaccine. NY-ESO-1b peptide vaccine contains the amino acid sequence SLLMWITQC, derived from the cancer-testis tumor antigen (NY-ESO-1), which is expressed on tumor cells of many different types, including melanomas. Vaccination with this peptide vaccine may elicit strong humoral and cellular immune responses to NY-ESO-1-expressing cancers."	15501973	PubMed:15501973		5428	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5428	https://github.com/vaccineontology/VO/issues/112	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C68999	NCT: https://clinicaltrials.gov/ct2/show/NCT00199836	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
29	12	VO:0007028	NY-ESO-B Vaccine	other	Melanoma Cancer;Breast Cancer;Bladder Cancer;Prostate Cancer;Liver Cancer	cancer vaccine	VO:0000177	Gene name: CTAG1B	1485	Clinical trial	Homo sapiens|Mus musculus	"A tumor-associated antigen belonging to the family of immunogenic testicular proteins that are aberrantly expressed in human cancers in a lineage-nonspecific fashion. Reverse transcription-PCR analysis showed NY-ESO-1 mRNA expression in a variable proportion of a wide array of human cancers, including melanoma, breast cancer, bladder cancer, prostate cancer, and hepatocellular carcinoma; and restricted expression in normal tissues, with high-level mRNA expression found only in testis and ovary tissues. The gene for NY-ESO-1 maps to Xq28 and codes for an 18-kDa protein having no homology with any known protein. NY-ESO-1 elicits a strong, integrated humoral and cellular immune response in a high proportion of patients with NY-ESO-1-expressing tumors and is under investigation as a cancer immunotherapy agent."				5182	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5182	https://github.com/vaccineontology/VO/issues/76	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C26680		Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
30	15	VO:0007029	ONYX-015 Vaccine	Recombinant vector vaccine	Various	cancer vaccine	VO:0000177	Gene name: TP53	7157	Clinical trial	Homo sapiens|Mus musculus	"An E1B-55kDa-deleted adenovirus that is able to selectively replicate in and lyse TP53-deficient human tumor cells. After tumor cell lysis, released viruses infect neighboring tumor cells, tripping a chain of ONYX-015-mediated tumor cell cytotoxicity."	11892945	PubMed:11892945		5486	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5486	https://github.com/vaccineontology/VO/issues/73	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C2830	NCT: https://clinicaltrials.gov/ct2/show/NCT00006106	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
31	23	VO:0007030	p53 Peptide Vaccine	Peptide vaccine	Breast Cancer; Ovarian Cancer	cancer vaccine	VO:0000177	Gene name: TP53	7157	Clinical trial	Homo sapiens|Mus musculus	A peptide-based cancer vaccine composed of amino acids 264 to 272 of the wild-type protein encoded by the P53 gene. p53 peptide vaccine may elicit an HLA-A2.1-restricted cytotoxic T lymphocyte immune response against tumor cells that overexpress p53 protein.	24583792	PubMed:24583792		5255	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5255		NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C1986	NCT: https://clinicaltrials.gov/ct2/show/NCT00001827	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
32	26	VO:0007031	PADRE-CMV Fusion Peptide Vaccine	Multipeptide vaccine	Nonneoplastic Condition	cancer vaccine	VO:0000177			Clinical trial	Homo sapiens|Mus musculus	"A peptide-based vaccine containing a pan HLA DR-binding epitope (PADRE) fused to a cytomegalovirus (CMV) peptide epitope, with potential anti-viral and immunomodulating activities. Upon administration, PADRE-CMV fusion peptide may stimulate a cytotoxic T-lymphocyte (CTL) response against CMV in the CMV-infected host. The synthetic peptide PADRE is a universal helper T cell epitope."	22402037	PubMed:22402037		5441	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5441		NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C78820	NCT: https://clinicaltrials.gov/ct2/show/NCT00722839	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
33	28	VO:0007032	PCLUS 3-18MN  Vaccine	Peptide vaccine	Nonneoplastic Condition	cancer vaccine	VO:0000177			Clinical trial	Homo sapiens|Mus musculus	"A synthetic HIV-1 envelope peptide that was developed for use as a vaccine. Vaccination with PCLUS 3-18MN may stimulate the host immune system to mount cytotoxic T lymphocyte (CTL) and T helper cell responses, and induce the production of neutralizing antibodies."	10546852	PubMed:10546852		5451	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5451	https://github.com/vaccineontology/VO/issues/115	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C2786	NCT: https://clinicaltrials.gov/ct2/show/NCT00001386	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
34	29	VO:0007033	PCLUS 6.1-18MN  Vaccine	Peptide vaccine	Nonneoplastic Condition	cancer vaccine	VO:0000177			Clinical trial	Homo sapiens|Mus musculus	"A synthetic HIV-1 envelope peptide that was developed for use as a vaccine. Vaccination with PCLUS 6.1-18MN may stimulate the host immune system to mount cytotoxic T lymphocyte (CTL) and T helper cell responses, and induce the production of neutralizing antibodies."	10546852	PubMed:10546852		5443	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5443	https://github.com/vaccineontology/VO/issues/116	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C2787	NCT: https://clinicaltrials.gov/ct2/show/NCT00001386	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
35	39	VO:0007034	Poly Microsphere Encapsulated HER2/neu Oral Vaccine	Multipeptide vaccine	Breast cancer; Ovarian Cancer	cancer vaccine	VO:0000177	Gene name: ERBB2	2064	Clinical trial	Homo sapiens	"A cancer vaccine consisting of Her2/neu peptides incorporated into microspheres of poly (lactide-co-glycolide) (PLGA), a biodegradable polymer. Poly microsphere encapsulated HER2/neu oral vaccine has been investigated for use in immunotherapy for tumors positive for HER-2/neu, a tumor associated antigen that is overexpressed in various cancers, including breast and ovarian cancer. "	29448628	PubMed:29448628		5176	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5176		NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C2718	NCT: https://clinicaltrials.gov/ct2/show/NCT02795988	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
36	62	VO:0007035	RAS Peptide Cancer Vaccine	Peptide vaccine	Colon Cancer;Pancreatic Cancer;Lung Cancer	cancer vaccine	VO:0000177	Gene name: KRAS	3845	Clinical trial	Homo sapiens|Mus musculus	"A cancer vaccine containing a RAS oncogene-encoded peptide with potential antineoplastic activity. RAS peptide cancer vaccine may stimulate a RAS peptide-specific antitumoral T-cell cytotoxic immune response, resulting in an inhibition of tumor cell proliferation and tumor cell death."	33016924	PubMed:33016924		5320	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5320	https://github.com/vaccineontology/VO/issues/189	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C2438	NCT: https://clinicaltrials.gov/ct2/show/NCT00019006	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
37	78	VO:0007036	Recombinant Fowlpox-B7.1 Vaccine	Recombinant vector vaccine	Solid Tumors	cancer vaccine	VO:0000177	Gene name: CD80	941	Clinical trial	Homo sapiens|Mus musculus	A cancer vaccine comprised of a recombinant fowlpox virus vector encoding the stimulatory molecule transgene B7-1. Recombinant fowlpox-B7.1 (rF-B7.1) vaccine may enhance antigen presentation and activate antitumoral cytotoxic T-cells.	12969559	PubMed:12969559		5424	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5424	https://github.com/vaccineontology/VO/issues/329	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C2666	NCT: https://clinicaltrials.gov/ct2/show/NCT00030693	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
38	79	VO:0007037	Recombinant Fowlpox-CEA(6D)/TRICOM Vaccine	Recombinant vector vaccine	Various	cancer vaccine	VO:0000177	Gene name: CEACAM5	1048	Clinical trial	Homo sapiens|Mus musculus	"A cancer vaccine comprised of a recombinant fowlpox virus vector encoding the carcinoembryonic antigen (CEA) and a TRIad of COstimulatory Molecules (B7-1, ICAM-1 and LFA-3) (TRICOM). This agent may enhance CEA presentation to antigen presenting cells (APC) and activate cytotoxic T-cells against CEA-expressing tumors."				5049	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5049	https://github.com/vaccineontology/VO/issues/330	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C2620	NCT: https://clinicaltrials.gov/ct2/show/NCT00028496	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
39	92	VO:0007038	Recombinant Saccharomyces Cerevisia-CEA(610D)-Expressing Vaccine GI-6207	"Inactivated or """"killed"""" vaccine"	Various	cancer vaccine	VO:0000177	Gene name: CEACAM5 (CEA)	1048	Clinical trial	Homo sapiens	"A whole, heat-killed, recombinant Saccharomyces cerevisiae yeast-based vaccine genetically altered to express the carcinoembryonic antigen (CEA) peptide 610D with potential immunostimulating and antineoplastic activities. Upon administration, recombinant Saccharomyces cerevisia-CEA(610D) vaccine GI-6207 may stimulate a host cytotoxic T-lymphocyte (CTL) response against CEA-expressing tumor cells, which may result in tumor cell lysis. CEA, a tumor associated antigen, is overexpressed on a wide variety of human cancer cells including colorectal, gastric, lung, breast and pancreatic cancer cells. CEA 610D encodes for 9 amino acids (605-613) in which aspartate is substituted for asparagine at position 610 (610D) in order to strengthen the induction of the CTL response against CEA-expressing tumor cells."	22862954	PubMed:22862954		5152	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5152		NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C82371	NCT: https://clinicaltrials.gov/ct2/show/NCT00924092	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
40	97	VO:0007039	Recombinant Vaccinia-CEA(6D)-TRICOM Vaccine	Recombinant vector vaccine	Solid Tumors	cancer vaccine	VO:0000177	Gene name: Cea-Mouse	111518	Clinical trial	Homo sapiens|Mus musculus	"A vaccine consisting of recombinant vaccinia virus encoding the tumor-associated antigen carcinoembryonic antigen (CEA) and a TRIad of COstimulatory Molecules (B7-1, ICAM-1, and LFA-3; also called TRICOM). Vaccination with recombinant vaccinia-CEA(6D)-TRICOM vaccine stimulates the host immune system to mount a T-cell response against tumor cells expressing the CEA antigen. The use of TRICOM in the vaccine may elicit a greater antitumor cytotoxic T lymphocyte (CTL) immune response compared to the use of vaccinia-CEA alone."	27581603	PubMed:27581603		5037	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5037	https://github.com/vaccineontology/VO/issues/342	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C2619	NCT: https://clinicaltrials.gov/ct2/show/NCT00217373	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
41	101	VO:0007040	Recombinant Vaccinia-MUC1-B7 Vaccine	Recombinant vector vaccine	Breast Cancer; Ovarian Cancer;Lung Cancer;Pancreatic Cancer	cancer vaccine	VO:0000177	Gene name: MUC1|Gene name: Cd80	4582|12519	Clinical trial	Homo sapiens|Mus musculus	"An admixture of recombinant vaccinia virus encoding MUC-1 and recombinant vaccinia virus encoding the murine T-cell co-stimulatory molecule B7.1. MUC-1 is a glycosylated mucin that is overexpressed in breast, lung, pancreatic, prostate, stomach, colon, and ovarian carcinomas. Vaccination with MUC-1 in combination with B7.1 may enhance the cytotoxic T cell (CTL) immune response to tumors expressing MUC-1, compared to vaccination with MUC-1 alone."	9101412	PubMed:9101412		5326	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5326	https://github.com/vaccineontology/VO/issues/348	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C29409		Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
42	103	VO:0007041	Recombinant Vaccinia-NY-ESO-1 Vaccine	Recombinant vector vaccine	Various	cancer vaccine	VO:0000177	Gene name: CTAG1B	1485	Clinical trial	Homo sapiens|Mus musculus	"A cancer vaccine consisting of a recombinant vaccinia viral vector encoding an immunogenic peptide derived from the cancer-testis antigen NY-ESO-1, an antigen found in normal testis and various tumors, including bladder, breast, hepatocellular, melanoma, and prostate cancers. Vaccination with recombinant vaccinia- NY-ESO-1 peptide vaccine may stimulate the host immune system to mount a humoral and cytotoxic T lymphocyte (CTL) response against tumor cells expressing NY-ESO-1 antigen, resulting in tumor cell lysis."	29773080	PubMed:29773080		5389	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5389	https://github.com/vaccineontology/VO/issues/349	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C48419	NCT: https://clinicaltrials.gov/ct2/show/NCT00112957	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
43	111	VO:0007042	Retrovector Encoding Mutant Anti-Cyclin G1 Vaccine	DNA vaccine	Breast Cancer;Pancreatic Cancer;Sarcoma	cancer vaccine	VO:0000177	Gene name: CCNG1	900	Clinical trial	Homo sapiens|Mus musculus	"A replication-incompetent, pathotropic, tumor matrix (collagen)-targeted, retroviral vector encoding an N-terminal deletion mutant form of the cyclin G1 gene with potential antineoplastic activity. Under the control of a hybrid long-terminal repeat/cytomegalovirus (CMV) promoter, retrovector encoding mutant anti-cyclin G expresses the mutant cyclin G1 construct, resulting in disruption of tumor cell cyclin G1 activity and decreased cellular proliferation and angiogenesis. This agent preferentially targets collagen of the tumor matrix because of the incorporation of the collagen-binding domain of von Willebrand factor (vWF) on the retrovector surface. Exploiting the collagen-targeting mechanism of vWF permits delivery of the retrovector to tumor sites where angiogenesis and collagen matrix exposure occur."				5437	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5437	https://github.com/vaccineontology/VO/issues/355	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C49082	NCT: https://clinicaltrials.gov/ct2/show/NCT00505271	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
44	123	VO:0007043	Survivin/p53/HER2 Antigen-loaded Autologous Dendritic Cell Vaccine	Dendritic cell vaccine	Breast Cancer;Melanoma Cancer	cancer vaccine	VO:0000177	Gene name: Survivin|Gene name: ERBB2|Gene name: p53	373110|2064|7157	Clinical trial	Homo sapiens	"An autologous dendritic cell (DC) vaccine loaded with tumor-associated antigens (TAAs) derived from survivin, p53 and human epidermal growth factor receptor 2 (HER2 or ERBB2), with immunostimulating and antineoplastic activities. Upon administration, this DC vaccine may elicit a potent cytotoxic T-cell (CTL) response against tumor cells expressing these TAAs, resulting in tumor cell death. Survivin, p53 and HER2 are essential in neoplastic growth, and are considered to be universal tumor antigens."	16096014	PubMed:16096014		5180	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5180		NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C114285	NCT: https://clinicaltrials.gov/ct2/show/NCT00978913	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
